    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6741e+00  1.7375e+00  7.5495e-03 -1.2971e-01  2.0024e-02  4.2705e-02  3.5544e-02 -4.7671e-01  6.0009e-01  1.1507e-01  2.0052e+00  2.4805e+00  1.8362e-02  1.3977e-02  3.0516e-02  1.1938e-02 -1.5477e-02  5.1650e-03  2.5920e-02  1.5379e+00  1.3623e+00  7.5574e-01  7.7712e-01  5.4381e-01  5.9193e-01  5.9105e-02  1.5419e-01  2.4493e-01  3.6501e-01  8.8094e-01
  6.1000e+00  1.6769e+00  1.7388e+00  6.6680e-03 -1.0200e-01  1.9704e-02  3.5121e-02  2.8678e-02 -4.9200e-01  4.7619e-01  1.0311e-01  2.0052e+00  2.4802e+00  1.4511e-02  1.1208e-02  2.5536e-02  9.5448e-03 -1.7468e-02  4.3447e-03  2.2409e-02  1.5379e+00  1.3623e+00  6.0804e-01  6.2534e-01  4.3288e-01  4.7240e-01  4.5119e-02  1.1804e-01  1.8974e-01  3.4943e-01  8.8054e-01
  6.2000e+00  1.6775e+00  1.7390e+00  6.4132e-03 -9.5925e-02  1.9610e-02  3.3238e-02  2.5398e-02 -6.1290e-01  4.4495e-01  1.0001e-01  2.0052e+00  2.4801e+00  1.3580e-02  1.0427e-02  2.4049e-02  9.2603e-03 -1.7553e-02  4.5983e-03  2.0032e-02  1.5378e+00  1.3622e+00  5.7946e-01  5.9096e-01  4.1036e-01  4.4543e-01  4.1386e-02  1.0838e-01  1.7588e-01  3.4613e-01  8.8060e-01
  6.3000e+00  1.6771e+00  1.7363e+00  7.4544e-03 -9.1277e-02  2.1886e-02  3.0612e-02 -2.2596e-02 -1.8988e+00  3.1265e-01  1.1240e-01  2.0053e+00  2.4801e+00  1.8873e-02  1.0871e-02  2.5259e-02  8.4471e-03 -1.0558e-02  1.5307e-02 -3.5494e-03  1.5379e+00  1.3612e+00  6.5025e-01  5.4293e-01  4.1097e-01  4.0814e-01  4.2118e-02  1.0804e-01  1.7407e-01  4.2260e-01  8.8166e-01
  6.4000e+00  1.6749e+00  1.7344e+00  1.2669e-02 -1.1173e-01  3.4667e-02  7.0622e-02 -9.7876e-02 -2.6574e+00  3.3273e-01  2.1453e-01  2.0051e+00  2.4795e+00  1.6260e-02  4.7834e-03  3.0618e-02 -2.2663e-02 -3.5643e-03  3.4018e-04 -1.0209e-01  1.5395e+00  1.3613e+00  8.1782e-01  6.2803e-01  5.0754e-01  5.0258e-01  6.7984e-02  1.6183e-01  2.4911e-01  6.6311e-01  8.8335e-01
  6.5000e+00  1.6643e+00  1.7343e+00 -3.5589e-03 -1.7799e-01  2.0206e-01  1.1411e-01 -4.6553e-02 -4.0015e+00  9.7179e-01  2.5577e-01  2.0040e+00  2.4803e+00  5.4025e-03  1.4882e-02  7.4988e-02 -4.6566e-02  9.6895e-03  1.7021e-02  7.0673e-02  1.5865e+00  1.3624e+00  1.2660e+00  1.2044e+00  9.4848e-01  1.0436e+00  3.0562e-01  6.8338e-01  7.9265e-01  7.2396e-01  8.9083e-01
  6.6000e+00  1.6645e+00  1.7369e+00  5.9379e-03 -1.5881e-01  2.7812e-01  1.2277e-01 -5.8620e-02 -4.7788e+00  1.0115e+00  3.7949e-01  2.0061e+00  2.4844e+00  5.8576e-02  8.3785e-02  1.5040e-01 -3.1508e-02  6.3461e-02  2.6353e-02  1.6140e-01  1.5825e+00  1.3658e+00  1.3480e+00  1.2319e+00  1.0200e+00  1.1049e+00  5.4476e-01  1.2617e+00  1.2382e+00  8.7744e-01  8.9619e-01
  6.7000e+00  1.6622e+00  1.7350e+00  3.3560e-02 -1.2683e-01  3.3702e-01  1.4673e-01  1.3321e-01 -4.2354e+00  9.6792e-01  8.1018e-01  2.0153e+00  2.5064e+00  3.5586e-01  3.6160e-01  4.8736e-01  2.5883e-01  2.3544e-01  1.7845e-01  5.7069e-01  1.5815e+00  1.3979e+00  1.4737e+00  1.2255e+00  1.0876e+00  1.1038e+00  1.2434e+00  3.0518e+00  2.6147e+00  8.4448e-01  8.9855e-01
  6.8000e+00  1.6597e+00  1.7336e+00  7.1344e-02 -1.1161e-01  4.0349e-01  1.8726e-01  4.2501e-01 -2.5152e+00  1.0362e+00  1.3766e+00  2.0275e+00  2.5350e+00  7.0505e-01  6.9858e-01  8.8133e-01  6.1772e-01  4.5631e-01  3.4156e-01  1.0629e+00  1.5878e+00  1.4437e+00  1.5758e+00  1.2831e+00  1.1728e+00  1.1610e+00  1.6547e+00  4.1364e+00  3.4058e+00  7.6625e-01  9.0301e-01
  6.9000e+00  1.6498e+00  1.7292e+00  1.2522e-01 -1.8113e-01  4.9878e-01  2.8438e-01  8.0055e-01 -3.0796e-01  1.3894e+00  2.1079e+00  2.0474e+00  2.5788e+00  1.1868e+00  1.1220e+00  1.3702e+00  1.0587e+00  7.2572e-01  4.8975e-01  1.7508e+00  1.6247e+00  1.5235e+00  1.9966e+00  1.6394e+00  1.5155e+00  1.4809e+00  1.8524e+00  4.7443e+00  3.8452e+00  5.9368e-01  9.0646e-01
