    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6771e+00  1.7380e+00  3.9300e-03 -1.0773e-01 -4.2550e-02  3.1817e-02  6.9238e-03 -7.4867e-01  4.2699e-01  7.2691e-02  2.0056e+00  2.4800e+00  6.0792e-03  3.8317e-03  8.1781e-03  1.7800e-03 -2.0742e-02  2.0463e-03  1.2726e-02  1.5377e+00  1.3623e+00  6.1280e-01  6.3612e-01  4.0601e-01  4.3416e-01  1.7527e-02  5.2548e-02  1.2526e-01  3.6066e-01  8.7566e-01
  6.1000e+00  1.6780e+00  1.7385e+00  3.8892e-03 -9.8007e-02 -3.6245e-02  2.9781e-02  6.8523e-03 -9.5561e-01  3.9312e-01  7.1646e-02  2.0057e+00  2.4801e+00  5.8607e-03  3.7523e-03  8.1160e-03  1.7498e-03 -2.2472e-02  2.0516e-03  1.2341e-02  1.5377e+00  1.3623e+00  5.6561e-01  5.8725e-01  3.7381e-01  4.0012e-01  1.6165e-02  4.8351e-02  1.1535e-01  3.5790e-01  8.7556e-01
  6.2000e+00  1.6784e+00  1.7388e+00  3.8674e-03 -9.3761e-02 -3.3641e-02  2.8795e-02  6.7897e-03 -9.9674e-01  3.7807e-01  7.1048e-02  2.0057e+00  2.4801e+00  5.7652e-03  3.7085e-03  8.0780e-03  1.7364e-03 -2.3763e-02  2.0532e-03  1.2161e-02  1.5377e+00  1.3623e+00  5.4484e-01  5.6564e-01  3.5963e-01  3.8504e-01  1.5595e-02  4.6564e-02  1.1110e-01  3.5561e-01  8.7566e-01
  6.3000e+00  1.6645e+00  1.7348e+00  4.6467e-03 -1.6566e-01 -4.0944e-02  3.7242e-02  1.2786e-02 -1.0479e+00  1.1778e+00  8.5209e-02  2.0042e+00  2.4789e+00  1.4244e-02  2.1943e-03  8.7614e-03  4.0909e-03 -1.8778e-02  2.6881e-03  1.2988e-02  1.5374e+00  1.3618e+00  1.2520e+00  1.3149e+00  1.0138e+00  1.0861e+00  3.5803e-01  6.7579e-01  8.1139e-01  3.4615e-01  8.8727e-01
  6.4000e+00  1.6402e+00  1.7289e+00  5.9290e-03 -2.7599e-01 -3.0516e-02  6.8430e-02  8.1800e-03 -1.3696e+00  2.4107e+00  1.2985e-01  2.0021e+00  2.4771e+00  2.5648e-02  3.5275e-03  1.1696e-02  5.4001e-03 -6.4554e-03  4.3321e-03  1.8750e-02  1.5370e+00  1.3612e+00  2.4976e+00  2.5637e+00  2.1739e+00  2.2765e+00  7.3154e-01  1.3604e+00  1.5386e+00  4.0409e-01  9.0771e-01
  6.5000e+00  1.6243e+00  1.7246e+00  7.3081e-03 -3.5352e-01 -3.8297e-02  7.7762e-02  7.0380e-03 -9.1879e-01  3.1669e+00  1.3654e-01  2.0007e+00  2.4761e+00  3.4641e-02  2.7552e-03  1.2194e-02 -3.0618e-04 -1.7562e-03  2.1494e-03  2.3203e-02  1.5367e+00  1.3609e+00  3.2798e+00  3.3522e+00  2.8979e+00  3.0088e+00  9.0918e-01  1.6678e+00  1.8559e+00  4.0243e-01  9.2146e-01
  6.6000e+00  1.6373e+00  1.7287e+00  1.0063e-02 -2.7353e-01  2.3278e-02  1.0446e-01  1.2126e-02 -1.0806e+00  2.4714e+00  1.7593e-01  2.0005e+00  2.4771e+00  6.6006e-02  2.1446e-02  2.7269e-02  3.1725e-03 -1.2590e-03  1.3875e-03  3.9423e-02  1.5365e+00  1.3606e+00  2.6674e+00  2.6762e+00  2.3151e+00  2.3955e+00  6.5570e-01  1.2431e+00  1.3586e+00  4.7582e-01  9.1546e-01
  6.7000e+00  1.6440e+00  1.7303e+00  9.2030e-03 -2.4567e-01  1.3895e-02  1.0478e-01 -2.5991e-02 -1.5836e+00  2.1145e+00  1.7679e-01  2.0016e+00  2.4775e+00  4.5183e-02  1.7338e-02  2.2032e-02 -1.0250e-02 -1.4574e-03  1.2812e-05  3.7746e-02  1.5368e+00  1.3610e+00  2.3426e+00  2.3405e+00  2.0031e+00  2.0733e+00  5.8278e-01  1.1247e+00  1.2439e+00  5.7939e-01  9.0732e-01
  6.8000e+00  1.6522e+00  1.7321e+00  1.1354e-02 -2.1719e-01  2.3558e-02  1.1936e-01 -1.0415e-01 -3.2567e+00  1.5697e+00  1.9810e-01  2.0026e+00  2.4780e+00  3.4661e-02  1.3582e-02  1.7965e-02 -4.3842e-02  1.4610e-03 -5.2283e-03  4.2448e-02  1.5373e+00  1.3616e+00  1.9547e+00  1.8993e+00  1.6156e+00  1.6488e+00  4.3192e-01  8.6078e-01  9.8870e-01  8.3805e-01  8.9957e-01
  6.9000e+00  1.6562e+00  1.7320e+00  1.0333e-02 -2.2145e-01 -2.6293e-04  1.2544e-01 -1.1494e-01 -3.1859e+00  1.3020e+00  1.9933e-01  2.0033e+00  2.4782e+00  1.9246e-02  9.3442e-03  1.3333e-02 -5.1778e-02  3.4347e-03 -5.7611e-03  4.1398e-02  1.5376e+00  1.3619e+00  1.7592e+00  1.6986e+00  1.3893e+00  1.4155e+00  2.8779e-01  6.1173e-01  7.6370e-01  8.0350e-01  8.9328e-01
  7.0000e+00  1.6540e+00  1.7298e+00  9.2582e-03 -2.6219e-01 -2.9592e-02  1.3665e-01 -9.0427e-02 -2.4286e+00  1.3821e+00  2.0119e-01  2.0031e+00  2.4781e+00  1.6386e-02  8.3859e-03  1.2262e-02 -4.3728e-02  5.7413e-03 -3.6123e-03  4.2273e-02  1.5375e+00  1.3619e+00  1.8725e+00  1.8264e+00  1.4374e+00  1.4756e+00  2.2928e-01  5.1219e-01  6.8713e-01  7.0551e-01  8.9314e-01
  7.1000e+00  1.6493e+00  1.7263e+00  6.0585e-03 -3.2381e-01 -7.3210e-02  1.4807e-01 -1.6040e-02 -6.5371e-01  1.6138e+00  1.9420e-01  2.0026e+00  2.4778e+00  1.6280e-02  9.3378e-03  1.2587e-02 -8.4238e-03  5.1190e-03  1.1724e-03  4.2592e-02  1.5374e+00  1.3618e+00  2.1003e+00  2.0893e+00  1.5769e+00  1.6413e+00  1.9440e-01  4.5648e-01  6.5759e-01  4.3364e-01  8.9456e-01
  7.2000e+00  1.6409e+00  1.7210e+00  5.1334e-03 -4.1761e-01 -1.2139e-01  1.7444e-01  5.6228e-03 -5.2744e-02  1.9257e+00  2.0183e-01  2.0020e+00  2.4774e+00  1.6018e-02  8.9279e-03  1.2013e-02  2.9539e-03  5.7164e-03  2.0629e-03  4.5722e-02  1.5374e+00  1.3617e+00  2.5236e+00  2.5226e+00  1.8678e+00  1.9445e+00  1.6501e-01  4.1592e-01  6.7358e-01  3.5108e-01  8.9695e-01
