log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
6.0	1.7203e+00	1.0566e+00	4.4250e-01	5.1509e-01	4.5791e-01	3.3543e-01	1.6957e+00	2.0093e-01	1.3810e-01	2.1533e+00
6.1	1.8924e+00	1.1429e+00	4.5114e-01	6.1981e-01	4.9664e-01	3.5708e-01	2.6291e+00	2.5657e-01	9.5056e-02	1.9804e+00
6.2	1.7849e+00	1.3688e+00	4.9683e-01	6.7276e-01	5.7297e-01	3.3757e-01	3.5182e+00	4.4725e-01	1.3031e-01	1.8514e+00
6.3	1.4282e+00	1.7233e+00	6.3090e-01	6.4683e-01	6.2524e-01	4.1604e-01	4.1138e+00	8.2936e-01	3.4315e-01	1.7482e+00
6.4	1.1626e+00	1.9538e+00	7.2599e-01	5.7794e-01	6.3639e-01	4.9051e-01	4.0026e+00	1.0241e+00	4.7092e-01	1.8585e+00
6.5	9.9525e-01	1.6971e+00	6.5293e-01	5.7048e-01	7.1001e-01	5.8391e-01	4.5270e+00	1.0342e+00	3.9480e-01	1.6867e+00
6.6	7.9191e-01	1.5482e+00	6.4353e-01	5.2444e-01	7.6789e-01	6.8841e-01	5.3686e+00	1.2900e+00	4.7063e-01	1.4139e+00
6.7	5.3880e-01	1.4563e+00	7.1659e-01	5.3522e-01	8.2921e-01	8.1472e-01	6.4621e+00	1.5421e+00	6.1638e-01	1.2563e+00
6.8	3.6231e-01	1.6187e+00	8.8668e-01	5.7531e-01	8.0341e-01	8.9401e-01	6.8457e+00	1.6971e+00	8.0514e-01	1.3779e+00
6.9	2.5983e-01	2.4607e+00	1.1007e+00	6.5231e-01	7.0960e-01	9.0711e-01	6.7216e+00	1.7466e+00	9.7491e-01	2.0384e+00
7.0	3.4897e-01	3.2487e+00	1.1997e+00	7.0919e-01	5.9090e-01	8.4711e-01	6.0011e+00	1.7235e+00	1.1348e+00	2.6793e+00
7.1	5.2113e-01	3.5283e+00	1.2289e+00	7.8505e-01	4.8517e-01	8.0001e-01	4.9950e+00	1.6515e+00	1.2833e+00	3.3441e+00
7.2	6.8905e-01	3.1837e+00	1.0237e+00	4.9903e-01	3.3728e-01	6.3095e-01	3.2299e+00	1.5427e+00	1.2519e+00	3.1187e+00
7.3	7.8193e-01	2.6858e+00	5.4923e-01	-2.4176e-01	2.1422e-01	2.8346e-01	1.3845e+00	1.5189e+00	9.7012e-01	1.8993e+00
7.4	8.5017e-01	2.6087e+00	4.8429e-01	-3.1391e-01	2.1712e-01	2.1245e-01	1.0985e+00	1.5301e+00	9.1757e-01	1.9404e+00
7.5	9.3909e-01	2.3609e+00	5.0819e-01	-2.6791e-01	1.8429e-01	1.5487e-01	9.0597e-01	1.5510e+00	9.3295e-01	1.6899e+00
7.6	1.0212e+00	2.0650e+00	5.5711e-01	-1.9319e-01	1.2700e-01	1.0006e-01	7.1641e-01	1.5534e+00	9.4798e-01	1.3572e+00
7.7	1.0764e+00	1.7679e+00	6.1334e-01	-1.1620e-01	5.6761e-02	5.2112e-02	5.3641e-01	1.5530e+00	9.5718e-01	9.7871e-01
7.8	1.0990e+00	1.4558e+00	6.7007e-01	-3.9743e-02	-1.9836e-02	7.6870e-03	3.5409e-01	1.5523e+00	9.6150e-01	5.4753e-01
7.9	1.0993e+00	1.1800e+00	7.1794e-01	-1.5119e-03	-1.0300e-01	-3.9302e-02	1.6022e-01	1.5853e+00	9.5789e-01	1.0422e-01
8.0	1.0812e+00	9.0228e-01	7.7656e-01	5.9578e-02	-1.7658e-01	-6.8617e-02	5.4730e-02	1.6198e+00	9.7537e-01	-3.1802e-01
8.1	1.0461e+00	6.2102e-01	8.3396e-01	1.1903e-01	-2.6003e-01	-9.9493e-02	-4.1868e-02	1.6617e+00	1.0022e+00	-7.3588e-01
8.2	9.9301e-01	3.1387e-01	9.0270e-01	1.7644e-01	-3.5754e-01	-1.3757e-01	-1.5605e-01	1.7111e+00	1.0482e+00	-1.1629e+00
8.3	9.5699e-01	1.1164e-01	9.5912e-01	2.7613e-01	-4.4743e-01	-1.6938e-01	-1.8944e-01	1.7649e+00	1.0889e+00	-1.5029e+00
8.4	9.2767e-01	-2.3191e-02	1.0115e+00	4.1162e-01	-5.3799e-01	-2.0771e-01	-2.2257e-01	1.8197e+00	1.1435e+00	-1.7617e+00
8.5	9.5158e-01	5.1530e-02	1.0306e+00	6.5217e-01	-6.0879e-01	-2.5770e-01	-1.8764e-01	1.8762e+00	1.1984e+00	-1.8788e+00
8.6	1.0321e+00	2.9144e-01	1.0251e+00	1.0812e+00	-6.8381e-01	-3.4749e-01	-1.7716e-01	1.9507e+00	1.2679e+00	-1.9705e+00
8.7	1.2124e+00	9.2628e-01	9.6724e-01	1.7251e+00	-7.1375e-01	-5.1204e-01	-1.9385e-01	2.0533e+00	1.3510e+00	-1.9613e+00
8.8	1.5344e+00	1.9901e+00	8.7447e-01	2.7299e+00	-7.4283e-01	-8.3317e-01	-3.3554e-01	2.2319e+00	1.4606e+00	-2.0003e+00
8.9	2.0371e+00	3.6020e+00	7.2102e-01	3.9366e+00	-7.3144e-01	-1.5387e+00	-1.0634e+00	2.4970e+00	1.5888e+00	-1.9824e+00
9.0	2.1499e+00	3.9993e+00	6.5315e-01	4.0461e+00	-5.8577e-01	-2.7425e+00	-3.1647e+00	2.7517e+00	1.7112e+00	-1.8500e+00
9.1	1.5461e+00	2.1262e+00	8.2488e-01	2.5792e+00	-4.5175e-01	-3.4754e+00	-5.1327e+00	2.9170e+00	1.8894e+00	-1.5660e+00
9.2	1.1881e+00	1.1688e+00	9.2499e-01	1.6717e+00	-4.7152e-01	-2.3840e+00	-3.6077e+00	2.9600e+00	2.2610e+00	-9.2204e-01
9.3	1.2289e+00	1.2313e+00	9.0986e-01	1.8444e+00	-6.1604e-01	-9.7869e-01	-9.8898e-01	2.8254e+00	2.8549e+00	1.8581e-01
9.4	1.4829e+00	2.1674e+00	8.0782e-01	2.6396e+00	-6.2611e-01	-1.0717e+00	-7.8992e-01	3.1872e+00	3.7180e+00	1.5457e+00
9.5	1.7575e+00	3.5158e+00	6.0352e-01	3.3508e+00	-4.5856e-01	-1.7255e+00	-1.4570e+00	4.5179e+00	4.8202e+00	3.1731e+00
9.6	1.6171e+00	3.5699e+00	4.9262e-01	3.0790e+00	-2.8128e-01	-2.3799e+00	-2.4254e+00	6.0860e+00	5.6412e+00	4.3739e+00
9.7	6.9506e-01	1.1536e+00	5.2657e-01	4.8627e-01	1.5046e-01	-8.2048e-01	-6.4300e-01	7.6552e+00	6.4709e+00	5.6465e+00
9.8	1.3760e+00	2.8424e+00	5.5687e-01	2.4556e+00	-3.1268e-01	-1.0454e+00	-1.6218e-01	8.6116e+00	7.0971e+00	6.8391e+00
9.9	7.8392e-01	1.5286e+00	4.2928e-01	9.1662e-01	9.0592e-04	-1.1239e+00	-1.1233e+00	9.5088e+00	7.6538e+00	7.8446e+00
10.0	6.4824e-01	9.5720e-01	5.9587e-01	1.9096e-01	1.3353e-01	2.8836e-01	1.4128e+00	8.9031e+00	8.0945e+00	9.5522e+00
10.1	4.6664e-01	7.7413e-01	3.8321e-01	1.9500e-01	7.6569e-02	6.2951e-03	5.7514e-01	1.1090e+01	8.7928e+00	1.0146e+01
10.2	6.6741e-01	9.0791e-01	5.9146e-01	1.4474e-01	4.5790e-02	2.1433e-01	1.0808e+00	3.9881e+00	5.5576e+00	9.4992e+00
10.3	5.7120e-01	9.3805e-01	4.9407e-01	2.5532e-01	7.9299e-02	1.8432e-01	1.1340e+00	5.0494e+00	7.1232e+00	1.3325e+01
10.4	2.5911e-01	4.3691e-01	1.7637e-01	6.7825e-02	1.4652e-02	2.3722e-02	2.4224e-01	4.2639e+00	6.3885e+00	1.1922e+01
10.5	1.5581e+00	8.5900e-01	9.7005e-01	2.9773e+00	-7.6122e-01	-9.9860e-01	-1.7931e+00	2.1724e+00	2.0926e+00	-7.6889e-01
10.6	9.1811e-01	-5.3172e-01	1.1448e+00	5.4959e-01	-6.6407e-01	-1.8589e-01	-3.5941e-01	1.9009e+00	1.3833e+00	-1.6476e+00
10.7	9.9219e-01	5.5835e-01	7.8483e-01	5.7942e-02	-2.4944e-01	-8.5479e-02	-1.2309e-01	1.5653e+00	9.8674e-01	-6.1066e-01
10.8	6.7423e-01	1.0143e+00	7.2950e-01	2.6953e-01	2.4130e-01	6.6506e-01	2.4960e+00	1.1726e+00	9.7219e-01	2.3314e+00
10.9	7.2868e-01	6.9423e-01	7.6642e-01	7.6241e-01	4.5608e-01	1.1814e+00	5.7039e+00	1.5264e+00	6.4369e-01	2.4274e+00
11.0	8.2843e-01	1.2050e+00	7.2968e-01	4.1412e-01	-8.0492e-02	8.9509e-02	1.2376e+00	1.7188e+00	1.1061e+00	7.6538e-01
