log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
6.0	2.0251e-01	1.7029e-01	7.8851e-02	3.3759e-03	6.4575e-02	5.8348e-02	5.3153e-01	8.0627e-02	5.5864e-02	2.6010e+00
6.1	2.2927e-01	1.6517e-01	7.3556e-02	3.7237e-03	6.1839e-02	5.6653e-02	5.4538e-01	7.4321e-02	5.1580e-02	2.4677e+00
6.2	2.7607e-01	1.6392e-01	7.2634e-02	8.0500e-03	5.9697e-02	5.6146e-02	5.5876e-01	7.0868e-02	5.0199e-02	2.3652e+00
6.3	3.1184e-01	1.7307e-01	7.5783e-02	2.1456e-02	6.6211e-02	5.5619e-02	6.8075e-01	9.0608e-02	5.3456e-02	2.1622e+00
6.4	3.2911e-01	2.1696e-01	1.1803e-01	6.4156e-02	7.7505e-02	5.2547e-02	6.9028e-01	2.3314e-01	9.5231e-02	1.6374e+00
6.5	2.7395e-01	1.9237e-01	1.2216e-01	4.7211e-02	8.3042e-02	5.1839e-02	6.6471e-01	2.3804e-01	1.1394e-01	1.6039e+00
6.6	1.9484e-01	2.0467e-01	1.0693e-01	4.5671e-02	1.1100e-01	6.2244e-02	7.0804e-01	1.9178e-01	1.0785e-01	1.7062e+00
6.7	9.6834e-02	2.2316e-01	1.0348e-01	5.6776e-02	1.5205e-01	8.5029e-02	7.8588e-01	1.2487e-01	9.2268e-02	1.7420e+00
6.8	4.8271e-02	2.4567e-01	1.1645e-01	7.2041e-02	1.8213e-01	1.0568e-01	8.3564e-01	1.3879e-01	9.3951e-02	1.6529e+00
6.9	6.1277e-02	2.4885e-01	1.3328e-01	5.9598e-02	1.5961e-01	1.0953e-01	8.7987e-01	1.9895e-01	9.0110e-02	1.5289e+00
7.0	5.5498e-02	2.8242e-01	1.5918e-01	6.5909e-02	1.4551e-01	1.2770e-01	1.1210e+00	2.5662e-01	9.6842e-02	1.3582e+00
7.1	8.6204e-02	3.0119e-01	1.7898e-01	5.2268e-02	9.9490e-02	1.1717e-01	1.1041e+00	2.9262e-01	1.0974e-01	1.2675e+00
