age,luminosity,Edot_Wind
1000000.0,5.491051179610292e+42,3.26941559663159e+39
1258925.411794166,5.647089845388323e+42,2.7334599468846593e+39
1584893.1924611141,5.484503109942999e+42,2.5266666057137564e+39
1995262.3149688789,5.0700538374802715e+42,2.6145274852451144e+39
2511886.4315095823,4.361429112823312e+42,4.9060196479913003e+39
3162277.6601683795,3.531112079474493e+42,8.0414108896762e+39
3981071.7055349695,2.4767206620426674e+42,9.088505501219356e+39
5011872.336272725,1.763415817572821e+42,6.812119723828833e+39
6309573.44480193,1.2665415607665676e+42,3.027220701291432e+39
7943282.347242822,9.360755445198817e+41,1.8208616269985743e+39
10000000.0,6.379480154329767e+41,9.395560504828178e+38
12589254.117941663,4.423632914511697e+41,4.814203069304036e+38
15848931.924611142,3.1274506861356047e+41,2.236114894919764e+38
19952623.149688788,2.3899973474474258e+41,9.19903572516473e+37
25118864.315095823,1.8637412267140466e+41,4.38513194816701e+37
31622776.60168379,1.4963640174046093e+41,2.909413578723637e+37
39810717.05534969,1.1862923478728391e+41,1.94161441594959e+37
50118723.36272725,9.925167840112655e+40,1.3171961516133386e+37
63095734.448019296,8.438587357370648e+40,9.654287677080198e+36
79432823.47242822,6.532808842944725e+40,5.367558628606613e+36
100000000.0,5.728357338335931e+40,3.2500466587449137e+36
125892541.17941661,4.949891589276285e+40,2.3292017331639417e+36
158489319.2461111,3.7881653831889557e+40,9.33923054233407e+35
199526231.49688828,3.3655542818339724e+40,7.833134948933164e+35
251188643.1509582,2.342604871805735e+40,4.371627249216941e+35
316227766.01683795,1.9541597734893498e+40,2.0641119215241647e+35
398107170.5534969,1.6396165717602434e+40,1.8471867481731135e+35
501187233.6272715,1.7544341419531677e+40,7.834672366254033e+34
630957344.4801943,1.6274705087154434e+40,1.0104272084404493e+35
794328234.7242821,1.421591716098015e+40,4.5336464613628855e+34
1000000000.0,1.0346060184245841e+40,2.6281871861054024e+34
1258925411.794166,6.868294055065353e+39,2.0183769066736635e+34
1584893192.4611108,5.011896188433616e+39,1.442760300671793e+34
1995262314.9688828,4.910414901937673e+39,1.1009161894657995e+34
2511886431.509582,3.7534039849855194e+39,8.402748066314856e+33
3162277660.1683793,3.050795179956479e+39,9.783027475030937e+33
3981071705.5349693,2.410208023977661e+39,4.535217903493313e+33
5011872336.272715,1.867263063104818e+39,3.601596031833421e+33
6309573444.801943,1.417940656878431e+39,1.9535079771580773e+33
7943282347.242822,1.2482980909001151e+39,1.925721679439647e+33
10000000000.0,7.285380850332807e+38,3.877990271405041e+32
12589254117.941662,8.063356691966197e+38,1.7341355378749556e+33
15848931924.611109,5.190657296436707e+38,2.778716094045054e+32
19952623149.688828,6.0992831999007235e+38,7.784114019603839e+32
25118864315.09582,3.8611491552334056e+38,4.747542166484946e+32
31622776601.683792,4.899424201678689e+38,1.692798544704643e+33
39810717055.34969,2.015508498280853e+38,3.1625461901592676e+33
50118723362.72715,1.9119463576613024e+38,3.3011449917246074e+33
63095734448.019424,1.849135193111575e+38,2.0263097280137172e+33
79432823472.42822,3.098525444963654e+38,1.3751416624724902e+33
100000000000.0,5.004768859121248e+37,2.5134517477340147e+76
